Hole,Row_index,Ag_ppm,Al_ppm,Alpha,Alt1_Code,Alt1_Int,Alt1_Style,Alt2_Code,Alt2_Int,Alt2_Style,Alt3_Code,Alt3_Int,Alt3_Style,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Beta,Bi_ppm,Bin_variability,Ca_ppm,Carbonate_11300nm_Height,Carbonate_11300nm_WL,Carbonate_6500_Height,Carbonate_6500_WL,Carbonate_6500nm_Mask,Cd_ppm,Ce_ppm,Co_ppm,Computed_Plane_Azimuth,Computed_Plane_Dip,Cr_ppm,Cs_ppm,Cu_ppm,DS_U_TIR_TSA703_Group,DS_U_TIR_TSA703_Mineral,Density_g_cm3,Depth_m,Dip,Dip_Direction,Dy_ppm,Er_ppm,Eu_ppm,Fe_%,Felsic-Mafic_Index_Wvl,Felsic-Mafic_Index_wvl_RMean,Fill_Min1,Fill_Min2,Fill_Thickness,Fill_Type,Ga_ppm,Gd_ppm,Ge_ppm,Hf_ppm,Ho_ppm,In_ppm,Infill_Texture,K_ppm,La_ppm,Li_ppm,Lith1_Code,Lith1_Colour1,Lith1_Colour2,Lith1_Colour_Tone,Lith1_GrainSize,Lith1_Struct_Int,Lith1_Struct_Pct,Lith1_Structure,Lith1_Texture1,Lith1_Texture2,Lith1_Texture3,Lith1_Texture_Int,Lith1_pc,Lith2_Code,Lith2_Colour1,Lith2_Colour2,Lith2_Colour_Tone,Lith2_GrainSize,Lith2_Strat,Lith2_Struct_Pct,Lith2_Structure,Lith2_Structure_Int,Lith2_Texture1,Lith2_Texture2,Lith2_pc,Logged_By,Lu_ppm,Mg_ppm,Min1_Code,Min1_Pct,Min1_Style,Min2_Code,Min2_Pct,Min2_Style,Mn_ppm,Mo_ppm,Na_ppm,Nat_Gamma_cps,Nb_ppm,Nd_ppm,Ni_ppm,P_ppm,Pb_ppm,Pr_ppm,Pt_ppb,RQD_Pct,RQD_m,Rb_ppm,Re_ppm,Recovery_Pct,Recovery_m,Res_Deep,Res_Shallow,SSD_gcc,S_ppm,Sb_ppm,Sc_ppm,Se_ppm,Sm_ppm,Sn_ppm,Sr_ppm,Structure_Int,Structure_Type,Sulph1_Code,Sulph1_Pct,Sulph1_Style,Sulph2_Code,Sulph2_Pct,Sulph2_Style,Sulph3_Code,Sulph3_Pct,Sulph3_Style,Susc_SI_10-3,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,Tm_ppm,U_ppm,V_ppm,Vein1_Comp,Vein1_Morph,Vein1_Pct,Vein1_Style,Vein1_Thickness,Vein2_Comp,Vein2_Morph,Vein2_Pct,Vein2_Style,Vein2_Thickness,Vein3_Comp,Vein3_Morph,Vein3_Style,Vein3_pct,Vel_geomean_ms,Vel_std_ms,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm,pXRF_Ag_ppm,pXRF_As_ppm,pXRF_Au_ppm,pXRF_Ba_ppm,pXRF_Bi_ppm,pXRF_Ca_ppm,pXRF_Cd_ppm,pXRF_Co_ppm,pXRF_Cr_ppm,pXRF_Cs_ppm,pXRF_Cu_ppm,pXRF_Fe_ppm,pXRF_Hg_ppm,pXRF_K_ppm,pXRF_Mn_ppm,pXRF_Mo_ppm,pXRF_Ni_ppm,pXRF_P_ppm,pXRF_Pb_ppm,pXRF_Pt_ppm,pXRF_Rb_ppm,pXRF_S_ppm,pXRF_Sb_ppm,pXRF_Sc_ppm,pXRF_Se_ppm,pXRF_Sn_ppm,pXRF_Sr_ppm,pXRF_Te_ppm,pXRF_Th_ppm,pXRF_Ti_ppm,pXRF_U_ppm,pXRF_V_ppm,pXRF_W_ppm,pXRF_Y_ppm,pXRF_Zn_ppm,pXRF_Zr_ppm
dd0001,10,,,,ch,s,ds,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,0.019,,,,,,,,,,,,,,,,,,,,AMPHIBOLE,Ferrohornblende,3.0329,62.435501,,,,,,,,9917.4443,Xobs,Xobs,,Xobs,,,,,,,Xobs,,,,Abu,Xobs,Xobs,d,fg,w,,fo,pi,Xobs,Xobs,w,,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,Xobs,Xobs,Xobs,Xobs,,,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,,100.0,1.0,,,,,,,,,,,,,,,Xobs,Xobs,Xobs,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,cb,nb,5.0,sg,2.0,Xobs,Xobs,,Xobs,,Xobs,Xobs,Xobs,,6282.9135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd0001,11,,,,ch,s,ds,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,0.019,,,,,,,,,,,,,,,,,,,,AMPHIBOLE,Edenite,3.0329,62.95265500000001,,,,,,,,10100.185,Xobs,Xobs,,Xobs,,,,,,,Xobs,,,,Abu,Xobs,Xobs,d,fg,w,,fo,pi,Xobs,Xobs,w,,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,Xobs,Xobs,Xobs,Xobs,,,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,,100.0,1.0,,,,,,,,,,,,,,,Xobs,Xobs,Xobs,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,cb,nb,5.0,sg,2.0,Xobs,Xobs,,Xobs,,Xobs,Xobs,Xobs,,6483.3266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd0001,12,,,,ch,s,ds,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,,,,,,,,,,,,,,,,,,,,,AMPHIBOLE,Edenite,3.0329,63.452018,,,,,,,,10317.09,Xobs,Xobs,,Xobs,,,,,,,Xobs,,,,Abu,Xobs,Xobs,d,fg,w,,fo,pi,Xobs,Xobs,w,,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,Xobs,Xobs,Xobs,Xobs,,,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,,100.0,1.0,,,,,,,,,,,,,,,Xobs,vb,Xobs,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,cb,nb,5.0,sg,2.0,Xobs,Xobs,,Xobs,,Xobs,Xobs,Xobs,,6410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd0001,13,,,,ch,s,ds,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,,,,,,,,,,,,,,,,,,,,,AMPHIBOLE,Edenite,3.0329,63.93813299999999,,,,,,,,10150.14,Xobs,Xobs,,Xobs,,,,,,,Xobs,,,,Abu,Xobs,Xobs,d,fg,w,,fo,pi,Xobs,Xobs,w,,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,Xobs,Xobs,Xobs,Xobs,,,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,,96.610168,0.9661017,,,,,,,,,,,,,,,Xobs,Xobs,Xobs,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,cb,nb,5.0,sg,2.0,Xobs,Xobs,,Xobs,,Xobs,Xobs,Xobs,,6026.6591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd0001,14,,,,ch,s,ds,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,,,,,,,,,,,,,,,,,,,,,AMPHIBOLE,Edenite,3.0329,64.453575,,,,,,,,9971.4902,Xobs,Xobs,,Xobs,,,,,,,Xobs,,,,Abu,Xobs,Xobs,d,fg,w,,fo,pi,Xobs,Xobs,w,,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,Xobs,Xobs,Xobs,Xobs,,,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,,90.0,0.8999999,,,,,,,,,,,,,,,Xobs,vb,Xobs,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,cb,nb,5.0,sg,2.0,Xobs,Xobs,,Xobs,,Xobs,Xobs,Xobs,,6100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd0001,15,,,,ch,s,ds,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,,,,,,,,,,,,,,,,,,,,,AMPHIBOLE,Ferrohornblende,3.0329,64.955665,,,,,,,,9979.4091,Xobs,Xobs,,Xobs,,,,,,,Xobs,,,,Abu,Xobs,Xobs,d,fg,w,,fo,pi,Xobs,Xobs,w,,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,Xobs,Xobs,Xobs,Xobs,,,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,,94.15093900000001,0.9415094,,,,,,,,,,,,,,,Xobs,cc,Xobs,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,cb,nb,5.0,sg,2.0,Xobs,Xobs,,Xobs,,Xobs,Xobs,Xobs,,6337.4946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd0001,16,,,,ch,s,ds,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,,,,,,,,,,,,,,,,,,,,,AMPHIBOLE,Edenite,3.0329,65.435241,,,,,,,,10292.146,Xobs,Xobs,,Xobs,,,,,,,Xobs,,,,Abu,Xobs,Xobs,d,fg,w,,fo,pi,Xobs,Xobs,w,,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,Xobs,Xobs,Xobs,Xobs,,,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,,100.0,1.0,,,,,,,,,,,,,,,Xobs,Xobs,Xobs,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,cb,nb,5.0,sg,2.0,Xobs,Xobs,,Xobs,,Xobs,Xobs,Xobs,,6335.9062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd0001,17,,,,ch,s,ds,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,,,,,,,,,,,,,,,,,,,,,AMPHIBOLE,Edenite,3.0329,65.952392,,,,,,,,10337.448,Xobs,Xobs,,Xobs,,,,,,,Xobs,,,,Abu,Xobs,Xobs,d,fg,w,,fo,pi,Xobs,Xobs,w,,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,Xobs,Xobs,Xobs,Xobs,,,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,,96.75,0.9675,,,,,,,,,,,,,,,Xobs,Xobs,Xobs,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,cb,nb,5.0,sg,2.0,Xobs,Xobs,,Xobs,,Xobs,Xobs,Xobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd0001,18,,,,ch,s,ds,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,0.006999999999999999,,,,,,,,,,,,,,,,,,,,AMPHIBOLE,Edenite,3.0329,66.42600999999999,,,,,,,,10321.955,Xobs,Xobs,,Xobs,,,,,,,Xobs,,,,Abu,Xobs,Xobs,d,fg,w,,fo,pi,Xobs,Xobs,w,,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,Xobs,Xobs,Xobs,Xobs,,,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,,92.0,0.92,,,,,,,,,,,,,,,Xobs,Xobs,Xobs,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,cb,nb,5.0,sg,2.0,Xobs,Xobs,,Xobs,,Xobs,Xobs,Xobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd0001,19,,,,ch,s,ds,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,0.006999999999999999,,,,,,,,,,,,,,,,,,,,AMPHIBOLE,Edenite,3.0329,66.954063,,,,,,,,10132.806999999999,Xobs,Xobs,,Xobs,,,,,,,Xobs,,,,Abu,Xobs,Xobs,d,fg,w,,fo,pi,Xobs,Xobs,w,,Xobs,Xobs,Xobs,Xobs,Xobs,Xobs,,Xobs,Xobs,Xobs,Xobs,,,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,,95.30159,0.9530158000000001,,,,,,,,,,,,,,,Xobs,Xobs,Xobs,,,Xobs,,Xobs,Xobs,,Xobs,,,,,,,,,,,cb,nb,5.0,sg,2.0,Xobs,Xobs,,Xobs,,Xobs,Xobs,Xobs,,6399.9843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
